True Cost 	Penalty 	Adjusted Cost
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
-2.665230E-02	0.000000E+00	-2.665230E-02
