Soil_ID,SOIL_PROF
-1,LAKE_SOIL
1,CLAY
2,SILTY_CLAY
3,SANDY_CLAY
4,CLAY_LOAM
5,SILTY_CLAY_LOAM
6,SANDY_CLAY_LOAM
7,LOAM
8,SILT_LOAM
9,SANDY_LOAM
10,SILT
11,LOAMY_SAND
12,SAND
