Landuse_ID,LAND_USE_C,MELT_FACTOR,REFREEZE_FACTOR
-1,LAKE,4.5,4.5
10,FOREST_CONIFEROUS,3.5,3.2
20,FOREST_DECIDUOUS,5.04,5.04
30,FOREST_MIXED,5.04,5.04
40,AGRICULTURE,5.04,5.04
50,URBAN,5.04,5.04
60,GRASSLAND,5.0,4.0
70,BARREN,5.04,5.04
80,WATER,5.04,5.04
90,WETLAND,5.04,5.04
95,SHRUBLAND,5.04,5.04
