Veg_ID,VEG_C
-1,WATER
10,CONIFEROUS
20,FOREST
30,MIXED_SHRUBLAND
40,GRASSLAND_VEG
50,GRASSLAND_VEG
60,GRASSLAND_VEG
70,GRASSLAND_VEG
80,WATER
90,WATER
95,MIXED_SHRUBLAND
